history_id,user_id,show_id,watch_date,watch_duration_mins,device_type
59,11974,749274,27-10-2024,11,TV
60,8410,680652,12-03-2021,27,TV
61,10160,456529,25-01-2023,25,Web
62,4142,724106,05-05-2020,103,Web
63,4239,337404,28-03-2021,76,Tablet
64,2233,396660,10-01-2025,21,TV
65,7832,1073125,03-07-2019,57,Tablet
66,3907,330459,15-04-2018,136,Tablet
67,8108,214091,18-02-2023,38,Web
68,11150,511819,15-04-2021,20,Web
69,1861,72190,24-12-2020,25,Web
70,11797,77877,16-05-2021,85,Tablet
71,11817,50461,28-05-2024,34,Web
72,11829,1075334,03-10-2023,19,Tablet
73,6750,1233620,10-10-2022,91,Mobile
74,2256,541560,23-12-2020,105,TV
75,11625,1053745,05-10-2018,15,Web
76,5002,1269108,27-07-2022,104,Mobile
77,11268,1226301,12-06-2022,36,Mobile
78,8645,510460,25-04-2020,26,TV
79,9708,181812,23-08-2020,132,Tablet
80,8358,318850,24-03-2022,73,Mobile
81,10561,781099,02-06-2021,131,Tablet
82,11068,975043,05-12-2023,7,Web
83,6294,364051,14-12-2023,80,Mobile
84,1605,308447,19-01-2020,128,Web
85,5154,339530,11-01-2024,97,Tablet
86,2853,448095,27-06-2025,100,TV
87,6034,43944,01-12-2024,98,Tablet
88,6046,529569,01-03-2022,112,Mobile
89,7220,641934,30-12-2024,106,Web
90,3816,560704,25-03-2018,82,TV
91,8098,299551,28-07-2022,21,Mobile
92,4727,336845,15-07-2023,30,TV
93,10372,385261,04-05-2019,44,Web
94,9122,347849,31-07-2024,59,TV
95,863,613370,06-08-2022,84,TV
96,6485,767499,11-12-2020,108,Mobile
97,2053,63574,08-04-2018,26,Tablet
98,9951,1293794,19-02-2022,98,Web
99,10954,403450,28-07-2020,38,Tablet
100,900,71285,24-11-2019,46,TV
101,6779,235093,23-04-2025,23,TV
102,10511,648619,28-10-2022,56,Mobile
103,10581,1203484,05-09-2025,84,Mobile
104,1648,505225,08-01-2019,52,Tablet
105,3989,318846,24-03-2019,43,Tablet
106,8364,1229915,17-06-2022,92,Web
107,11076,348537,20-10-2019,82,Tablet
108,10062,463088,28-07-2018,39,Tablet
109,11715,696374,13-08-2024,33,Web
110,5025,826914,27-03-2021,13,Mobile
111,3042,271736,21-06-2020,47,Web
112,9506,31967,22-08-2022,45,TV
113,4813,1030598,01-12-2025,32,Tablet
114,4269,1234397,05-05-2020,51,Web
115,10594,942955,18-02-2018,68,Tablet
116,8058,1298238,29-03-2022,98,TV
117,11758,134597,09-10-2021,36,Tablet
118,585,402431,13-02-2018,101,Tablet
119,6700,238010,17-11-2019,53,Web
120,2967,1303983,26-10-2019,52,TV
121,9741,41154,09-02-2025,48,Mobile
122,2449,999722,07-05-2021,90,Web
123,4291,763152,06-03-2022,71,Web
124,3095,318917,13-11-2024,91,TV
125,6922,126337,26-01-2019,32,Web
126,1870,363689,02-06-2019,37,Tablet
127,518,48289,05-02-2024,17,Tablet
128,2506,522887,04-05-2018,47,Mobile
129,7672,508642,25-03-2019,20,TV
130,11595,723640,29-02-2020,58,Mobile
131,8095,1339775,14-11-2021,61,Web
132,6279,73686,20-03-2022,36,Web
133,202,364324,10-04-2025,11,Web
134,8048,943822,04-01-2020,98,TV
135,9528,575774,19-12-2018,25,TV
136,6149,522098,18-05-2019,72,Web
137,6297,756403,28-11-2019,71,TV
138,601,1053419,19-04-2019,51,Mobile
139,1040,242090,14-08-2019,29,Tablet
140,2596,320736,27-05-2025,22,Tablet
141,5228,86467,22-11-2022,28,Tablet
142,927,84111,25-08-2019,5,TV
143,3229,173153,10-04-2018,91,TV
144,8660,591889,21-10-2020,107,Mobile
145,7264,411728,05-11-2019,45,TV
146,7589,926916,05-02-2021,111,Tablet
147,181,1261543,06-12-2020,78,Web
148,5003,566038,22-05-2025,9,Mobile
149,4387,297021,22-06-2023,143,Tablet
150,10358,1062215,13-09-2023,52,TV
151,1885,461763,07-08-2021,59,Mobile
152,7859,406668,05-01-2020,18,Tablet
153,11411,363482,27-09-2023,121,Web
154,1693,339116,10-09-2024,29,Mobile
155,7700,46562,16-05-2018,46,TV
156,3520,1134865,25-08-2023,57,TV
157,8533,510657,06-09-2018,100,Web
158,224,1281933,07-10-2018,81,Web
159,4453,461053,24-11-2025,53,Tablet
160,3350,1003580,01-07-2022,66,Web
161,7951,395834,18-07-2022,29,TV
162,10232,276928,15-12-2018,81,Tablet
163,9854,1160164,12-09-2019,151,Mobile
164,1322,29426,19-11-2024,35,Tablet
165,3543,274007,29-09-2021,67,Web
166,2616,456287,25-10-2024,18,Mobile
167,1932,64931,01-08-2021,23,TV
168,6738,490132,13-02-2024,34,Mobile
169,9058,1403775,22-12-2024,36,TV
170,93,573680,20-11-2021,64,Tablet
171,443,320288,17-02-2018,43,Web
172,8778,585744,07-10-2018,53,TV
173,6107,425373,14-02-2024,69,Tablet
174,3956,80709,18-05-2023,62,Web
175,10797,583903,03-03-2021,62,Mobile
176,6406,45535,10-12-2023,38,Web
177,9539,573683,06-09-2025,19,Tablet
178,7204,434616,11-06-2023,34,Tablet
179,9320,621151,01-03-2021,92,Mobile
180,11964,128206,16-08-2024,70,Mobile
181,46,536841,05-09-2018,22,TV
182,9279,36865,29-10-2018,21,Mobile
183,10784,1172676,10-02-2025,18,Mobile
184,7852,1026880,28-01-2020,17,TV
185,7692,768147,01-09-2022,110,Web
186,11110,727745,15-02-2020,51,Tablet
187,6266,324670,22-11-2025,18,Tablet
188,8774,359364,17-05-2020,64,Web
189,9010,1092506,12-01-2019,26,TV
190,6954,844075,01-03-2019,132,Web
191,5198,472424,15-12-2020,17,Mobile
192,1071,773867,06-06-2021,32,Mobile
193,3502,1012652,15-01-2022,27,Tablet
194,5822,788734,07-10-2022,37,Mobile
195,1380,600479,02-05-2021,34,Web
196,5045,1363381,30-05-2020,16,Tablet
197,10951,293205,03-01-2023,138,Mobile
198,1521,330115,16-09-2019,78,Mobile
199,4317,375794,17-01-2025,53,Web
200,1456,559562,18-06-2024,6,Mobile
201,8040,438674,08-05-2022,29,Mobile
202,9688,833097,16-10-2021,12,Mobile
203,5485,330457,20-05-2023,22,Mobile
204,10070,91679,09-11-2025,54,Web
205,7824,571756,18-03-2021,170,Web
206,5705,744409,07-03-2020,9,Mobile
207,9444,204053,16-08-2019,37,Mobile
208,5223,615658,03-04-2022,90,Mobile
209,10020,46207,14-10-2020,105,TV
210,6059,93840,23-03-2020,94,Web
211,10859,433128,11-04-2019,11,Tablet
212,4731,132342,13-08-2020,123,TV
213,1387,337167,28-07-2021,29,Tablet
214,5759,766105,17-06-2024,40,TV
215,10969,949380,26-06-2019,21,Web
216,4690,1241755,11-07-2024,123,TV
217,5176,653729,25-01-2018,45,Mobile
218,9397,660851,22-12-2025,90,TV
219,7529,1437163,29-08-2022,105,Web
220,921,332169,29-08-2018,105,TV
221,11844,102651,07-05-2024,16,Tablet
222,6138,41479,20-02-2023,50,Mobile
223,6715,565312,26-04-2018,64,TV
224,2372,711963,04-07-2024,23,Tablet
225,9208,72641,22-04-2025,58,Tablet
226,9932,54553,02-04-2021,119,Mobile
227,8733,438590,17-09-2019,133,Mobile
228,9577,339984,27-11-2022,119,Tablet
229,8615,611337,03-10-2020,38,Web
230,11880,364116,17-09-2020,155,TV
231,9025,458302,01-05-2023,26,Web
232,9048,63139,16-03-2020,25,Tablet
233,6773,370964,28-10-2021,120,Web
234,9344,248688,09-06-2023,97,TV
235,1976,317560,25-09-2019,17,Mobile
236,1119,195173,23-03-2024,24,Web
237,10995,580175,06-12-2024,40,Mobile
238,10365,446170,08-04-2021,124,TV
239,299,95755,23-05-2024,66,TV
240,7355,369557,20-06-2023,43,Mobile
241,9793,440424,02-08-2018,108,TV
242,11885,441130,22-10-2019,22,Mobile
243,6412,1324481,10-02-2025,60,Web
244,5857,286875,25-10-2024,92,Tablet
245,6931,71700,07-06-2020,28,Web
246,11801,1014209,15-05-2019,49,Tablet
247,11848,566232,17-08-2025,102,TV
248,5292,175987,26-08-2025,22,Tablet
249,4903,45317,13-10-2024,87,Tablet
250,4025,1229915,29-11-2020,28,Web
251,3396,1173019,21-08-2022,62,Tablet
252,4635,1013154,04-09-2021,26,Tablet
253,4098,668482,04-05-2025,62,Mobile
254,504,12819,28-04-2023,39,Mobile
255,6802,57718,02-12-2019,14,Tablet
256,10365,160085,21-10-2019,48,TV
257,5629,428045,08-07-2024,36,Tablet
258,7181,457243,12-10-2025,12,Tablet
259,7422,551994,01-03-2025,94,Tablet
260,3909,483411,18-02-2018,21,Tablet
261,8231,346685,07-12-2018,61,Tablet
262,4697,401133,13-04-2020,38,TV
263,10803,586577,18-12-2018,10,TV
264,2493,174675,22-11-2020,34,Mobile
265,3942,968870,19-10-2023,99,Web
266,6772,778730,26-10-2018,29,Tablet
267,6116,126250,29-04-2022,38,Mobile
268,6760,252841,04-12-2020,44,Web
269,3497,493099,29-11-2024,148,TV
270,9456,251783,18-11-2023,41,Web
271,7284,48415,29-01-2022,37,Tablet
272,8881,1217379,29-08-2025,79,Web
273,5010,799155,05-12-2022,111,Web
274,10518,581475,17-09-2018,23,TV
275,3368,454640,07-11-2024,38,Mobile
276,10266,447061,17-12-2021,10,Mobile
277,9720,52475,05-06-2021,14,Mobile
278,8499,410366,25-02-2025,8,Mobile
279,10576,931404,30-09-2018,59,TV
280,6616,1128941,28-09-2024,71,Web
281,1758,686142,16-07-2023,64,Tablet
282,2258,318917,03-08-2023,36,TV
283,8946,68178,24-09-2023,76,Mobile
284,4917,788752,12-07-2024,52,Web
285,3693,338065,08-03-2018,28,TV
286,1833,333386,29-12-2021,66,TV
287,10892,157823,04-06-2018,37,Web
288,3602,138222,05-10-2019,28,Tablet
289,5529,314220,15-09-2022,45,TV
290,2594,1280468,17-12-2023,25,Web
291,9816,149550,07-01-2023,35,Mobile
292,4310,274817,20-06-2020,73,TV
293,2141,320048,14-02-2025,126,Web
294,9553,259611,29-01-2019,27,Tablet
295,1445,173980,18-05-2018,34,Mobile
296,5935,1002398,07-09-2025,37,Tablet
297,1910,430447,16-07-2022,96,TV
298,2490,43933,16-06-2021,67,TV
299,3498,199933,26-09-2025,83,TV
300,861,214075,18-02-2023,61,Tablet
301,4276,346672,06-10-2019,18,Mobile
302,1412,656991,12-12-2022,24,Web
303,6526,1051959,22-03-2022,118,Tablet
304,3767,375742,04-03-2019,36,Tablet
305,4429,284536,14-09-2022,67,Web
306,4394,1032472,26-04-2021,132,TV
307,11907,677115,30-12-2022,119,TV
308,10318,1317288,08-02-2020,63,Tablet
309,3363,455008,12-09-2020,113,Tablet
310,7503,717151,23-05-2022,19,TV
311,11013,252511,15-08-2019,31,Mobile
312,7597,60228,11-04-2025,73,TV
313,2731,299590,01-06-2020,99,Web
314,4308,214135,24-06-2022,22,Mobile
315,10012,210860,08-09-2021,60,TV
316,3988,115782,17-01-2019,60,Mobile
317,9443,1241934,31-03-2020,102,TV
318,2546,1425810,14-12-2020,27,Tablet
319,811,592867,27-10-2024,157,Tablet
320,1349,266285,04-01-2021,161,Web
321,11995,334028,14-12-2019,39,Web
322,11224,433808,22-01-2018,45,Tablet
323,8318,495151,23-05-2024,64,Web
324,9148,105001,16-07-2019,73,Web
325,4104,276401,04-03-2025,39,Tablet
326,9494,209901,27-04-2018,16,Tablet
327,1071,793147,15-06-2019,52,Mobile
328,622,1239511,19-08-2021,35,TV
329,6696,937013,15-07-2025,51,Web
330,6465,503619,20-01-2020,65,Tablet
331,3134,330457,31-10-2020,43,Web
332,5520,628053,14-11-2023,141,TV
333,2871,734118,12-04-2022,65,Web
334,7949,489927,11-08-2022,59,TV
335,11605,188183,01-09-2022,65,Mobile
336,6875,335462,04-10-2018,16,Web
337,2294,997265,28-01-2022,55,Tablet
338,6511,1205702,14-11-2021,43,TV
339,4072,260557,13-05-2025,163,Web
340,4076,311054,29-11-2022,77,Tablet
341,3042,741228,07-09-2024,77,Web
342,6503,1040195,16-12-2019,66,Web
343,9750,58595,24-10-2021,88,TV
344,144,518896,20-03-2025,17,Web
345,10198,458534,13-07-2022,144,Mobile
346,3318,698860,09-02-2022,75,Web
347,7466,660033,03-11-2020,51,TV
348,4634,615466,12-03-2018,72,TV
349,11397,98548,19-05-2021,22,TV
350,5630,339158,27-08-2025,118,Web
351,5498,752564,21-03-2023,71,Mobile
352,7270,706972,03-09-2024,35,Tablet
353,2454,1407011,07-08-2018,42,Mobile
354,9652,1436462,03-06-2022,79,Mobile
355,3697,80279,03-08-2018,130,Mobile
356,2206,541560,15-03-2024,78,TV
357,10957,760747,22-07-2024,102,Mobile
358,1757,401294,01-02-2024,10,Tablet
359,8019,44219,07-03-2024,12,Mobile
360,4110,537406,11-11-2024,114,Tablet
361,1866,471498,19-03-2020,10,Web
362,10748,277558,20-04-2023,62,Mobile
363,21,1424802,26-10-2025,12,Tablet
364,11269,507086,28-01-2021,104,Tablet
365,8569,59065,31-05-2020,36,Web
366,8927,218043,04-09-2021,114,Tablet
367,8680,228203,07-02-2023,50,Tablet
368,836,554596,25-07-2019,110,TV
369,7725,1317218,08-09-2022,102,Web
370,6740,393821,01-01-2019,49,Mobile
371,10012,108993,31-05-2022,101,TV
372,11833,1409235,04-10-2022,17,TV
373,9986,1155770,19-01-2025,42,Tablet
374,1709,51540,09-08-2024,31,Web
375,10951,284537,13-08-2018,84,Mobile
376,3373,521647,23-06-2019,10,Mobile
377,11605,245168,31-03-2023,90,Mobile
378,3762,26022,18-10-2020,35,Tablet
379,7979,514754,23-11-2020,39,Web
380,7634,345923,16-09-2021,34,Tablet
381,5693,660942,18-06-2022,46,Mobile
382,1595,743601,01-09-2024,51,Mobile
383,11285,779057,21-03-2023,116,TV
384,3886,117974,11-07-2022,112,TV
385,3930,48289,13-07-2023,59,Tablet
386,10099,961331,02-02-2018,49,Web
387,6358,81796,08-09-2018,38,Mobile
388,2130,251783,01-07-2021,69,Web
389,7950,962192,16-02-2018,10,Mobile
390,2033,124887,22-06-2024,83,Mobile
391,1408,227970,12-03-2019,10,TV
392,2482,591275,28-03-2020,22,TV
393,9036,804406,08-05-2022,81,TV
394,3812,306819,16-03-2021,65,Tablet
395,3113,41211,19-09-2020,14,Mobile
396,6817,1001884,04-07-2023,75,Mobile
397,4796,1224953,09-07-2025,109,Tablet
398,3616,408490,10-10-2024,6,Mobile
399,8879,403348,21-03-2025,117,Tablet
400,1573,79836,18-04-2018,27,Mobile
401,6110,1203329,07-08-2024,14,TV
402,9170,429733,09-01-2022,104,Web
403,11723,1191610,21-03-2019,38,Web
404,8699,334074,31-03-2018,62,TV
405,713,1134531,22-01-2021,43,Tablet
406,6106,351242,16-10-2025,26,Tablet
407,9807,689160,23-01-2023,17,Web
408,7013,537056,20-01-2023,63,TV
409,5167,1417675,06-05-2023,49,Tablet
410,7775,1234731,29-12-2023,68,TV
411,3704,348677,24-12-2020,45,Mobile
412,9837,264529,07-12-2025,91,Tablet
413,7404,648337,30-06-2018,56,Mobile
414,5292,95754,25-02-2024,84,Tablet
415,5054,588009,19-01-2018,82,Web
416,10144,1199872,10-03-2025,65,Mobile
417,8872,1026819,19-09-2023,55,Web
418,2767,586047,11-05-2024,134,Web
419,7364,157370,28-02-2021,80,TV
420,7783,805411,08-09-2025,81,Mobile
421,1657,1104390,31-01-2024,19,Mobile
422,1036,1093237,20-12-2023,58,Mobile
423,247,646097,30-10-2022,70,Tablet
424,4398,1000075,17-04-2023,39,TV
425,8474,662546,20-09-2023,9,Mobile
426,10210,402334,01-09-2018,36,TV
427,5478,565719,05-12-2018,36,Tablet
428,3855,657811,02-08-2024,51,TV
429,9579,975022,09-07-2019,90,Web
430,1261,400608,22-12-2022,100,Tablet
431,2437,584586,29-10-2018,106,Web
432,2140,623464,21-10-2024,138,Mobile
433,1064,1239288,18-12-2023,33,TV
434,6416,760336,16-08-2024,41,Web
435,9988,203321,03-04-2018,15,TV
436,10404,98568,09-01-2022,115,Mobile
437,4107,95755,16-09-2020,25,Mobile
438,9058,1316205,04-05-2024,50,TV
439,4332,172329,08-04-2019,38,Mobile
440,2361,54524,28-04-2024,41,TV
441,8482,602269,24-09-2022,25,Mobile
442,5021,1038938,21-09-2019,63,TV
443,7534,365177,14-03-2024,75,TV
444,2182,550023,26-02-2018,31,Mobile
445,7821,488143,09-09-2024,125,Web
446,7038,458423,18-12-2022,33,Tablet
447,3534,845861,09-05-2021,23,Tablet
448,2983,60604,27-10-2018,71,TV
449,10998,688878,13-08-2024,105,Web
450,2674,64566,19-04-2020,21,Tablet
451,5422,42888,01-04-2018,29,Mobile
452,3499,531309,08-11-2020,27,Web
453,1932,457232,25-06-2025,91,TV
454,10428,112936,13-12-2020,61,Tablet
455,6513,400928,28-02-2023,64,Tablet
456,5701,70588,17-10-2025,37,Tablet
457,9261,1270880,20-02-2020,27,Tablet
458,1943,121835,21-08-2023,21,Tablet
459,8200,505283,12-07-2018,24,Tablet
460,4409,87558,06-02-2023,137,Tablet
461,3866,1270052,19-04-2021,98,TV
462,9787,184346,22-01-2020,110,Mobile
463,5587,461763,24-04-2022,44,TV
464,10394,480105,09-02-2025,89,Web
465,11548,586384,17-09-2018,17,TV
466,7013,522449,11-05-2020,82,TV
467,267,46138,13-05-2025,87,Web
468,7110,721785,23-07-2020,80,TV
469,1905,507618,21-04-2019,58,Web
470,3999,1154538,24-04-2020,23,TV
471,267,462883,31-07-2023,72,Web
472,8410,1122618,25-12-2023,53,TV
473,11174,293863,10-04-2018,58,Mobile
474,4521,274479,28-02-2022,34,Web
475,11714,940551,01-04-2022,36,Web
476,7905,802217,17-03-2020,39,Tablet
477,3924,1417313,28-04-2023,56,TV
478,10154,267970,02-12-2019,70,Mobile
479,8819,277368,21-11-2018,73,Mobile
480,1105,89636,15-12-2020,84,Mobile
481,4285,66150,06-06-2018,40,Mobile
482,10527,10192,04-01-2022,115,Web
483,7105,385141,16-01-2018,112,Mobile
484,4786,225728,09-08-2021,55,Web
485,1454,324253,15-03-2025,27,Mobile
486,6156,123229,29-04-2022,20,TV
487,8229,90283,23-08-2023,38,Mobile
488,3184,181533,06-06-2025,65,Web
489,11866,393857,09-04-2020,66,Mobile
490,4157,677638,03-05-2018,54,Mobile
491,4887,555285,01-06-2022,52,Tablet
492,4997,250574,23-03-2023,81,TV
493,7471,887870,01-12-2023,110,TV
494,1070,287947,05-11-2021,103,Tablet
495,8272,347201,24-03-2023,53,Tablet
496,5451,586352,24-10-2018,134,Mobile
497,1553,1282536,16-04-2020,30,Web
498,3278,344147,25-01-2018,33,Mobile
499,2390,1087388,26-05-2022,46,Tablet
500,8079,1226578,21-04-2020,91,Tablet
501,6696,59437,17-07-2025,24,Web
502,8766,283366,17-01-2021,31,Tablet
503,11045,810406,11-12-2024,17,Mobile
504,7992,714869,09-09-2019,21,Tablet
505,2440,94348,26-06-2018,60,Tablet
506,10091,574074,23-11-2024,63,Tablet
507,862,465597,20-10-2023,58,TV
508,932,1432521,22-01-2024,157,Tablet
509,10999,1207123,03-12-2018,150,Tablet
510,10835,462919,03-12-2018,139,Mobile
511,5615,619918,21-07-2024,47,Mobile
512,5109,211707,30-09-2022,29,Web
513,11323,1013601,24-01-2021,82,Mobile
514,727,198277,31-12-2019,82,TV
515,3613,290555,25-02-2020,48,TV
516,3228,76203,06-10-2022,33,Mobile
517,4318,11324,17-05-2023,37,Web
518,5515,1075523,06-01-2019,39,Web
519,5522,314327,31-12-2020,88,Web
520,8615,210910,25-10-2020,59,Web
521,5089,1125257,06-12-2019,86,Tablet
522,2192,884315,22-08-2025,80,Web
523,1078,505060,08-01-2025,52,Mobile
524,2904,700186,06-03-2022,23,Web
525,8843,846967,22-05-2022,41,Tablet
526,8831,586742,09-06-2025,18,TV
527,2424,402298,30-09-2018,52,Mobile
528,3079,423204,20-07-2022,90,Tablet
529,11510,933419,03-08-2021,15,Tablet
530,1489,308403,08-08-2019,48,Mobile
531,2052,83533,28-03-2020,5,Tablet
532,10129,1044648,11-03-2018,35,Tablet
533,5267,318044,26-01-2023,56,Mobile
534,8057,1019420,15-05-2021,86,Web
535,11909,753230,05-01-2019,105,Tablet
536,5427,520358,14-08-2025,29,Web
537,6414,347757,28-03-2018,70,TV
538,11856,100275,26-01-2023,161,Web
539,8674,8967,05-02-2020,72,TV
540,8156,282672,26-04-2023,27,Mobile
541,1452,452507,10-09-2020,84,TV
542,10890,451417,01-10-2018,71,Web
543,10708,95170,02-02-2025,36,Web
544,191,537140,17-03-2018,139,Web
545,11112,333112,11-01-2021,83,Mobile
546,1345,736526,10-06-2020,57,TV
547,6614,592742,11-11-2024,127,TV
548,697,630027,24-12-2020,45,Web
549,8979,1094473,08-02-2019,65,Web
550,8042,852427,15-06-2024,29,Web
551,11901,1167898,25-07-2025,31,Tablet
552,7786,401200,11-03-2023,95,Mobile
553,3099,139374,28-08-2019,46,Mobile
554,9856,821390,26-07-2023,33,TV
555,11842,1278099,28-08-2020,35,Mobile
556,10840,513045,27-02-2024,39,Mobile
557,4456,460071,01-08-2023,91,Tablet
558,11164,53010,14-10-2023,41,TV
559,5961,974576,25-04-2020,47,TV
560,3334,339846,25-11-2022,73,Tablet
561,1747,436932,05-08-2020,37,Mobile
562,10490,480623,06-03-2020,125,TV
563,2390,801965,09-04-2022,27,Tablet
564,4849,502581,25-04-2025,106,TV
565,9253,347847,03-03-2023,47,Mobile
566,4728,136793,24-11-2023,76,Mobile
567,9493,311181,21-04-2020,26,TV
568,10592,587065,24-02-2018,14,Web
569,8542,44716,17-02-2019,87,TV
570,1495,912726,19-11-2025,74,Tablet
571,268,207475,15-11-2018,23,Tablet
572,11676,573171,24-01-2019,27,TV
573,8432,574060,16-02-2023,77,Web
574,11307,1431188,03-12-2024,79,TV
575,10957,298582,30-08-2024,34,Mobile
576,2015,401898,22-08-2019,74,Tablet
577,2386,1017066,10-02-2021,84,Tablet
578,3065,551298,29-08-2024,97,Web
579,4738,228933,10-12-2023,38,TV
580,239,630868,25-09-2025,16,TV
581,11854,283698,09-03-2020,46,Mobile
582,9973,457697,16-03-2022,35,Tablet
583,686,513268,22-03-2024,9,Web
584,5964,1167351,01-09-2021,64,TV
585,10428,586592,24-05-2025,9,Tablet
586,7771,251519,04-12-2018,106,TV
587,7597,455761,03-10-2019,48,TV
588,9346,1438110,04-07-2022,98,TV
589,6583,766798,12-09-2018,66,Tablet
590,11926,75624,14-08-2020,132,TV
591,1403,1337395,06-12-2020,133,Mobile
592,3504,873125,21-07-2022,115,Mobile
593,652,264529,14-10-2020,127,TV
594,1758,776328,10-10-2024,8,Tablet
595,10212,538335,08-06-2021,17,Web
596,377,614934,06-05-2020,43,TV
597,2181,61404,22-01-2022,7,Tablet
598,8044,210024,19-08-2020,11,TV
599,7220,931405,15-01-2020,67,Web
600,8186,1229958,25-04-2023,85,Mobile
601,5386,232175,26-07-2020,38,TV
602,71,44129,18-06-2022,82,TV
603,1118,422469,14-04-2018,56,Mobile
604,5840,1175306,25-01-2021,104,Web
605,10887,97020,15-06-2025,7,Mobile
606,153,396535,17-02-2019,19,Tablet
607,193,1178556,22-07-2024,125,Tablet
608,1726,408439,20-07-2025,70,Mobile
609,244,269173,19-06-2021,54,TV
610,2500,834143,25-07-2019,24,TV
611,9099,606236,11-04-2025,26,TV
612,10493,740658,15-03-2022,145,TV
613,9726,506763,06-09-2020,65,Web
614,93,976906,01-03-2022,42,Tablet
615,6929,52587,10-12-2019,73,TV
616,3225,542178,26-10-2019,158,Tablet
617,6497,51072,10-10-2021,20,Tablet
618,1176,664177,20-06-2018,24,Tablet
619,247,1032664,14-05-2024,58,Tablet
620,1607,91186,25-11-2021,17,Tablet
621,9377,592687,12-06-2021,50,TV
622,5240,1045770,23-10-2022,53,Tablet
623,2765,843617,31-01-2025,35,Web
624,7005,403310,07-12-2022,114,Web
625,11225,747688,22-10-2023,147,Tablet
626,1599,371859,01-03-2023,13,Tablet
627,4880,468284,21-03-2020,41,Web
628,7830,515114,17-04-2018,11,TV
629,3955,84111,06-03-2018,51,Web
630,2548,321741,23-08-2024,28,Web
631,7063,346648,25-07-2019,78,TV
632,5455,596247,08-10-2025,123,Mobile
633,3624,34592,12-09-2020,58,TV
634,7748,1229349,25-07-2025,25,Web
635,6713,730047,07-01-2025,69,Tablet
636,7223,381028,26-06-2018,46,TV
637,5719,574883,06-01-2025,114,Mobile
638,1952,1436462,03-01-2023,76,TV
639,8105,660330,07-06-2025,77,Tablet
640,4100,77844,23-05-2024,38,Tablet
641,6508,438435,18-11-2025,105,Web
642,942,151512,21-04-2021,13,Web
643,9722,67762,28-10-2022,127,TV
644,5676,185460,06-08-2021,138,TV
645,4641,145247,16-08-2023,26,Mobile
646,11774,1083612,26-12-2024,17,Web
647,10045,240745,20-04-2025,51,Mobile
648,1569,498402,20-04-2018,107,Web
649,590,659993,30-04-2020,18,Mobile
650,3640,134683,28-07-2019,39,Tablet
651,11604,57876,24-09-2020,79,Tablet
652,4867,1027073,25-12-2018,110,TV
653,8327,401743,07-08-2024,89,TV
654,1118,886396,24-05-2018,53,Mobile
655,9111,89008,12-03-2023,122,Mobile
656,10240,186919,22-12-2024,28,Web
657,8754,77221,29-12-2020,41,Tablet
658,101,508763,09-02-2025,63,Mobile
659,1667,700979,29-03-2022,23,TV
660,5286,1037837,05-09-2020,6,Web
