subscription_id,user_id,plan_type,monthly_fee,start_date,end_date,status
69,69,Basic,199,2020-02-16,,Active
70,70,Standard,499,2018-11-10,,Active
71,71,Standard,499,2025-01-12,,Active
72,72,Premium,649,2020-12-07,2024-07-07,Cancelled
73,73,Premium,649,2022-01-04,,Active
74,74,Standard,499,2018-06-19,,Active
75,75,Premium,649,2022-11-08,,Active
76,76,Standard,499,2019-09-11,,Active
77,77,Standard,499,2022-04-04,,Active
78,78,Basic,199,2021-12-04,,Active
79,79,Premium,649,2024-08-14,,Active
80,80,Premium,649,2021-05-11,2024-08-11,Cancelled
81,81,Basic,199,2024-08-11,,Active
82,82,Standard,499,2024-02-29,2025-05-29,Cancelled
83,83,Standard,499,2021-01-23,,Active
84,84,Basic,199,2019-10-23,,Active
85,85,Premium,649,2018-12-04,,Active
86,86,Standard,499,2019-11-23,,Active
87,87,Premium,649,2019-12-20,,Active
88,88,Premium,649,2023-08-08,2026-11-08,Cancelled
89,89,Standard,499,2021-02-20,,Active
90,90,Basic,199,2023-04-29,2027-08-29,Cancelled
91,91,Premium,649,2025-01-31,,Active
92,92,Standard,499,2018-08-04,,Active
93,93,Premium,649,2025-04-11,,Active
94,94,Basic,199,2025-04-12,,Active
95,95,Premium,649,2023-08-10,,Active
96,96,Premium,649,2020-07-14,,Active
97,97,Premium,649,2021-07-02,2025-02-02,Cancelled
98,98,Basic,199,2021-02-25,,Active
99,99,Standard,499,2023-03-01,,Active
100,100,Premium,649,2018-06-07,,Active
101,101,Premium,649,2019-02-11,2023-11-11,Cancelled
102,102,Premium,649,2022-06-10,,Active
103,103,Standard,499,2018-10-18,2021-11-18,Cancelled
104,104,Standard,499,2021-05-08,,Active
105,105,Basic,199,2022-01-26,,Active
106,106,Standard,499,2020-12-03,2023-11-03,Cancelled
107,107,Basic,199,2023-12-09,,Active
108,108,Basic,199,2024-10-05,,Active
109,109,Basic,199,2021-10-28,,Active
110,110,Standard,499,2025-08-12,,Active
111,111,Premium,649,2021-03-13,,Active
112,112,Standard,499,2024-02-04,,Active
113,113,Premium,649,2023-01-16,,Active
114,114,Basic,199,2018-05-18,,Active
115,115,Standard,499,2018-07-29,,Active
116,116,Standard,499,2023-09-01,,Active
117,117,Basic,199,2022-12-30,2024-01-30,Cancelled
118,118,Standard,499,2024-03-04,2026-11-04,Cancelled
119,119,Standard,499,2019-10-06,,Active
120,120,Basic,199,2023-11-06,,Active
121,121,Premium,649,2018-05-02,,Active
122,122,Premium,649,2021-08-31,,Active
123,123,Premium,649,2021-04-12,,Active
124,124,Premium,649,2019-04-01,2022-06-01,Cancelled
125,125,Standard,499,2019-08-26,,Active
126,126,Standard,499,2025-08-01,2027-04-01,Cancelled
127,127,Premium,649,2025-01-22,,Active
128,128,Premium,649,2024-12-31,2029-06-30,Cancelled
129,129,Standard,499,2019-10-25,,Active
130,130,Premium,649,2020-09-18,,Active
131,131,Premium,649,2018-11-26,,Active
132,132,Standard,499,2025-03-07,,Active
133,133,Premium,649,2022-04-12,,Active
134,134,Standard,499,2018-09-09,,Active
135,135,Basic,199,2025-01-28,,Active
136,136,Premium,649,2024-05-20,,Active
137,137,Standard,499,2020-09-08,2022-07-08,Cancelled
138,138,Premium,649,2020-10-11,,Active
139,139,Standard,499,2025-05-19,2026-02-19,Cancelled
140,140,Basic,199,2024-03-25,,Active
141,141,Basic,199,2025-05-08,,Active
142,142,Premium,649,2023-01-28,2025-01-28,Cancelled
143,143,Premium,649,2023-10-21,,Active
144,144,Premium,649,2025-09-09,,Active
145,145,Basic,199,2023-02-28,,Active
146,146,Premium,649,2020-10-29,,Active
147,147,Basic,199,2020-06-28,2024-07-28,Cancelled
148,148,Basic,199,2024-06-02,,Active
149,149,Standard,499,2023-09-21,,Active
150,150,Standard,499,2022-11-17,,Active
151,151,Standard,499,2024-12-17,,Active
152,152,Premium,649,2022-10-26,,Active
153,153,Basic,199,2025-04-22,,Active
154,154,Standard,499,2018-03-16,2020-09-16,Cancelled
155,155,Standard,499,2025-03-23,,Active
156,156,Standard,499,2020-09-04,,Active
157,157,Premium,649,2018-09-05,,Active
158,158,Standard,499,2025-09-08,,Active
159,159,Premium,649,2024-05-28,,Active
160,160,Basic,199,2024-01-21,,Active
161,161,Premium,649,2024-03-09,,Active
162,162,Premium,649,2025-08-22,,Active
163,163,Premium,649,2020-03-12,,Active
164,164,Standard,499,2018-06-13,2022-06-13,Cancelled
165,165,Standard,499,2020-01-10,,Active
166,166,Basic,199,2020-03-20,,Active
167,167,Premium,649,2018-11-20,,Active
168,168,Standard,499,2019-11-22,,Active
169,169,Standard,499,2018-12-09,,Active
170,170,Basic,199,2018-08-16,2022-05-16,Cancelled
171,171,Standard,499,2020-09-26,,Active
172,172,Standard,499,2023-03-11,,Active
173,173,Premium,649,2019-03-30,,Active
174,174,Standard,499,2021-05-06,,Active
175,175,Basic,199,2018-03-29,,Active
176,176,Basic,199,2019-06-10,,Active
177,177,Standard,499,2022-04-20,,Active
178,178,Basic,199,2025-05-06,2027-01-06,Cancelled
179,179,Premium,649,2024-03-23,,Active
180,180,Standard,499,2023-04-07,,Active
181,181,Premium,649,2019-01-16,,Active
182,182,Premium,649,2022-03-31,,Active
183,183,Standard,499,2019-02-11,,Active
184,184,Premium,649,2019-04-23,,Active
185,185,Premium,649,2025-11-30,,Active
186,186,Basic,199,2023-10-06,,Active
187,187,Standard,499,2024-12-14,2029-06-14,Cancelled
188,188,Standard,499,2022-03-09,2026-08-09,Cancelled
189,189,Premium,649,2022-08-07,2026-12-07,Cancelled
190,190,Basic,199,2025-03-14,,Active
191,191,Basic,199,2020-09-03,,Active
192,192,Premium,649,2022-04-21,,Active
193,193,Basic,199,2022-10-11,,Active
194,194,Basic,199,2020-12-19,,Active
195,195,Premium,649,2021-11-11,,Active
196,196,Premium,649,2019-06-28,,Active
197,197,Premium,649,2020-06-28,,Active
198,198,Basic,199,2020-10-01,,Active
199,199,Standard,499,2024-11-11,,Active
200,200,Standard,499,2021-12-22,,Active
201,201,Premium,649,2019-09-18,,Active
202,202,Premium,649,2019-08-31,,Active
203,203,Basic,199,2025-01-02,,Active
204,204,Premium,649,2021-10-08,,Active
205,205,Standard,499,2025-06-26,,Active
206,206,Premium,649,2023-12-21,,Active
207,207,Premium,649,2025-12-27,,Active
208,208,Standard,499,2021-09-05,,Active
209,209,Basic,199,2019-05-26,,Active
210,210,Standard,499,2024-08-13,,Active
211,211,Basic,199,2023-07-19,,Active
212,212,Premium,649,2024-03-22,,Active
213,213,Basic,199,2022-03-05,,Active
214,214,Basic,199,2023-04-15,,Active
215,215,Basic,199,2024-09-05,,Active
216,216,Basic,199,2023-11-21,,Active
217,217,Basic,199,2021-08-10,,Active
218,218,Basic,199,2019-01-07,2019-10-07,Cancelled
219,219,Standard,499,2020-04-23,,Active
220,220,Premium,649,2020-07-27,,Active
221,221,Standard,499,2023-02-20,2027-02-20,Cancelled
222,222,Standard,499,2019-06-10,,Active
223,223,Premium,649,2022-03-26,,Active
224,224,Premium,649,2025-06-05,2027-12-05,Cancelled
225,225,Premium,649,2019-01-12,,Active
226,226,Standard,499,2023-01-23,,Active
227,227,Premium,649,2021-05-24,,Active
228,228,Basic,199,2023-09-13,,Active
229,229,Premium,649,2021-08-04,,Active
230,230,Premium,649,2024-02-07,,Active
231,231,Basic,199,2023-03-30,,Active
232,232,Premium,649,2021-11-16,,Active
233,233,Premium,649,2019-05-20,2022-08-20,Cancelled
234,234,Basic,199,2022-12-19,,Active
235,235,Standard,499,2022-06-30,,Active
236,236,Standard,499,2020-02-12,,Active
237,237,Basic,199,2021-05-01,,Active
238,238,Standard,499,2025-08-23,,Active
239,239,Basic,199,2024-01-29,,Active
240,240,Premium,649,2025-11-16,2029-08-16,Cancelled
241,241,Premium,649,2019-09-13,2021-09-13,Cancelled
242,242,Basic,199,2022-10-02,,Active
243,243,Premium,649,2019-10-19,,Active
244,244,Premium,649,2018-07-11,2022-11-11,Cancelled
245,245,Premium,649,2025-02-01,,Active
246,246,Premium,649,2022-08-07,2025-06-07,Cancelled
247,247,Premium,649,2023-04-08,2025-10-08,Cancelled
248,248,Basic,199,2021-09-16,,Active
249,249,Basic,199,2021-11-11,,Active
250,250,Premium,649,2020-07-06,2022-08-06,Cancelled
251,251,Standard,499,2021-12-29,2026-02-28,Cancelled
252,252,Basic,199,2025-09-28,,Active
253,253,Standard,499,2022-09-20,,Active
254,254,Premium,649,2020-03-21,,Active
255,255,Basic,199,2023-08-15,2025-09-15,Cancelled
256,256,Basic,199,2024-10-17,,Active
257,257,Basic,199,2024-03-13,,Active
258,258,Basic,199,2020-02-11,,Active
259,259,Basic,199,2022-06-10,,Active
260,260,Basic,199,2025-01-11,2025-07-11,Cancelled
261,261,Basic,199,2024-04-20,2025-02-20,Cancelled
262,262,Basic,199,2024-12-10,2029-06-10,Cancelled
263,263,Standard,499,2022-04-21,,Active
264,264,Premium,649,2019-06-09,,Active
265,265,Premium,649,2021-01-29,,Active
266,266,Premium,649,2021-09-20,,Active
267,267,Standard,499,2024-01-22,,Active
268,268,Premium,649,2025-08-19,2030-02-19,Cancelled
269,269,Standard,499,2022-08-19,,Active
270,270,Premium,649,2022-08-03,,Active
271,271,Basic,199,2023-01-16,,Active
272,272,Standard,499,2019-10-07,,Active
273,273,Standard,499,2024-10-29,,Active
274,274,Basic,199,2025-08-28,2028-02-28,Cancelled
275,275,Basic,199,2021-10-17,,Active
276,276,Basic,199,2022-03-12,2025-10-12,Cancelled
277,277,Basic,199,2020-10-24,2022-06-24,Cancelled
278,278,Premium,649,2025-12-15,2028-01-15,Cancelled
279,279,Basic,199,2025-04-25,,Active
280,280,Premium,649,2023-04-01,,Active
281,281,Standard,499,2018-02-10,,Active
282,282,Premium,649,2021-11-13,2023-03-13,Cancelled
283,283,Premium,649,2021-03-26,2025-10-26,Cancelled
284,284,Basic,199,2018-09-23,,Active
285,285,Standard,499,2023-06-03,,Active
286,286,Basic,199,2025-03-25,2028-11-25,Cancelled
287,287,Premium,649,2024-01-16,,Active
288,288,Standard,499,2019-09-12,,Active
289,289,Basic,199,2018-08-11,,Active
290,290,Standard,499,2024-02-28,,Active
291,291,Premium,649,2025-10-14,,Active
292,292,Standard,499,2020-03-10,,Active
293,293,Standard,499,2022-08-13,,Active
294,294,Basic,199,2021-11-26,,Active
295,295,Basic,199,2020-01-18,2021-05-18,Cancelled
296,296,Basic,199,2025-05-30,,Active
297,297,Standard,499,2018-08-07,2021-08-07,Cancelled
298,298,Standard,499,2023-04-20,,Active
299,299,Premium,649,2018-10-19,,Active
300,300,Basic,199,2025-05-18,2028-12-18,Cancelled
301,301,Premium,649,2020-08-23,,Active
302,302,Basic,199,2023-06-10,,Active
303,303,Standard,499,2023-07-15,,Active
304,304,Basic,199,2021-01-10,2022-06-10,Cancelled
305,305,Premium,649,2020-03-11,2024-12-11,Cancelled
306,306,Premium,649,2022-05-29,2023-02-28,Cancelled
307,307,Premium,649,2022-08-02,,Active
308,308,Premium,649,2019-03-14,2022-08-14,Cancelled
309,309,Standard,499,2018-04-24,2021-10-24,Cancelled
310,310,Basic,199,2025-09-06,,Active
311,311,Basic,199,2021-12-08,,Active
312,312,Basic,199,2023-10-07,,Active
313,313,Premium,649,2018-11-22,,Active
314,314,Standard,499,2023-12-24,,Active
315,315,Basic,199,2019-07-25,,Active
316,316,Basic,199,2020-03-21,2021-06-21,Cancelled
317,317,Premium,649,2024-11-20,,Active
318,318,Premium,649,2019-11-14,,Active
319,319,Basic,199,2021-03-16,2024-03-16,Cancelled
320,320,Basic,199,2022-09-19,2024-06-19,Cancelled
321,321,Basic,199,2019-08-27,,Active
322,322,Premium,649,2024-12-19,,Active
323,323,Basic,199,2019-02-13,,Active
324,324,Premium,649,2024-07-26,,Active
325,325,Standard,499,2022-10-03,,Active
326,326,Basic,199,2025-05-30,,Active
327,327,Premium,649,2022-11-28,2024-06-28,Cancelled
328,328,Basic,199,2022-09-27,,Active
329,329,Premium,649,2018-06-07,2019-11-07,Cancelled
330,330,Premium,649,2024-07-17,,Active
331,331,Standard,499,2019-05-09,2023-05-09,Cancelled
332,332,Basic,199,2020-09-20,2024-01-20,Cancelled
333,333,Basic,199,2019-02-07,,Active
334,334,Basic,199,2023-06-11,,Active
335,335,Premium,649,2019-06-03,,Active
336,336,Premium,649,2020-04-29,,Active
337,337,Basic,199,2020-01-06,2025-01-06,Cancelled
338,338,Premium,649,2021-02-05,,Active
339,339,Premium,649,2022-02-18,2024-04-18,Cancelled
340,340,Premium,649,2018-11-16,2022-12-16,Cancelled
341,341,Premium,649,2018-04-13,,Active
342,342,Premium,649,2024-02-13,,Active
343,343,Basic,199,2023-08-02,,Active
344,344,Basic,199,2023-05-29,2024-12-29,Cancelled
345,345,Basic,199,2025-01-27,2026-06-27,Cancelled
346,346,Basic,199,2019-03-12,2020-02-12,Cancelled
347,347,Premium,649,2019-11-30,,Active
348,348,Standard,499,2023-03-29,2024-10-29,Cancelled
349,349,Premium,649,2020-08-05,,Active
350,350,Basic,199,2025-08-05,,Active
351,351,Basic,199,2022-04-09,,Active
352,352,Standard,499,2025-08-04,2030-05-04,Cancelled
353,353,Basic,199,2018-01-21,,Active
354,354,Premium,649,2019-12-03,,Active
355,355,Standard,499,2018-07-26,,Active
356,356,Premium,649,2020-11-10,,Active
357,357,Standard,499,2019-08-01,2021-07-01,Cancelled
358,358,Premium,649,2024-04-07,,Active
359,359,Premium,649,2018-02-22,,Active
360,360,Standard,499,2021-04-02,2024-04-02,Cancelled
361,361,Premium,649,2018-10-05,,Active
362,362,Standard,499,2020-07-10,,Active
363,363,Basic,199,2023-06-15,,Active
364,364,Standard,499,2022-09-08,2027-08-08,Cancelled
365,365,Standard,499,2020-12-05,2022-07-05,Cancelled
366,366,Premium,649,2023-04-30,,Active
367,367,Standard,499,2020-03-04,,Active
368,368,Basic,199,2025-08-07,,Active
369,369,Premium,649,2022-06-20,,Active
370,370,Standard,499,2019-05-03,,Active
371,371,Standard,499,2019-01-24,,Active
372,372,Standard,499,2019-02-23,,Active
373,373,Basic,199,2023-10-06,2026-10-06,Cancelled
374,374,Standard,499,2018-02-16,,Active
375,375,Standard,499,2023-12-28,2024-08-28,Cancelled
376,376,Basic,199,2023-06-03,,Active
377,377,Basic,199,2019-02-03,,Active
378,378,Standard,499,2018-02-17,,Active
379,379,Standard,499,2020-10-13,,Active
380,380,Standard,499,2020-10-14,,Active
381,381,Premium,649,2023-05-22,,Active
382,382,Premium,649,2020-07-18,,Active
383,383,Standard,499,2021-01-11,2025-08-11,Cancelled
384,384,Basic,199,2022-09-24,,Active
385,385,Standard,499,2020-09-05,2023-01-05,Cancelled
386,386,Standard,499,2018-11-23,2021-11-23,Cancelled
387,387,Standard,499,2018-01-16,,Active
388,388,Basic,199,2020-03-24,2023-10-24,Cancelled
389,389,Standard,499,2023-05-25,,Active
390,390,Standard,499,2021-05-23,2022-10-23,Cancelled
391,391,Basic,199,2022-04-05,,Active
392,392,Basic,199,2024-07-16,,Active
393,393,Premium,649,2024-04-24,,Active
394,394,Basic,199,2022-09-18,,Active
395,395,Standard,499,2018-10-15,,Active
396,396,Premium,649,2020-06-01,,Active
397,397,Standard,499,2024-02-20,,Active
398,398,Basic,199,2023-02-11,,Active
399,399,Standard,499,2019-07-09,,Active
400,400,Premium,649,2023-05-15,2024-07-15,Cancelled
401,401,Standard,499,2021-07-21,,Active
402,402,Standard,499,2018-11-25,2023-03-25,Cancelled
403,403,Standard,499,2024-08-16,2026-04-16,Cancelled
404,404,Basic,199,2023-05-06,,Active
405,405,Standard,499,2018-10-20,,Active
406,406,Premium,649,2024-11-22,,Active
407,407,Standard,499,2021-04-08,,Active
408,408,Premium,649,2021-08-04,,Active
409,409,Basic,199,2021-11-25,,Active
410,410,Basic,199,2018-08-15,,Active
411,411,Basic,199,2021-02-14,,Active
412,412,Premium,649,2022-06-30,,Active
413,413,Basic,199,2018-03-30,,Active
414,414,Standard,499,2019-07-13,2021-07-13,Cancelled
415,415,Premium,649,2025-05-09,,Active
416,416,Basic,199,2020-07-28,,Active
417,417,Premium,649,2024-05-25,,Active
418,418,Basic,199,2019-05-08,,Active
419,419,Standard,499,2024-10-16,2025-11-16,Cancelled
420,420,Standard,499,2021-04-07,2022-03-07,Cancelled
421,421,Standard,499,2025-10-02,,Active
422,422,Standard,499,2018-07-08,2022-09-08,Cancelled
423,423,Premium,649,2021-10-08,,Active
424,424,Basic,199,2018-10-14,,Active
425,425,Premium,649,2023-10-28,,Active
426,426,Premium,649,2019-08-02,,Active
427,427,Premium,649,2023-07-15,2024-02-15,Cancelled
428,428,Basic,199,2023-12-14,,Active
429,429,Standard,499,2019-06-02,2021-03-02,Cancelled
430,430,Basic,199,2023-12-18,,Active
431,431,Standard,499,2023-10-11,2024-06-11,Cancelled
432,432,Premium,649,2019-09-05,,Active
433,433,Premium,649,2022-01-31,,Active
434,434,Basic,199,2019-06-23,,Active
435,435,Basic,199,2020-09-27,,Active
436,436,Standard,499,2024-04-23,,Active
437,437,Basic,199,2019-06-01,,Active
438,438,Standard,499,2022-07-01,2026-01-01,Cancelled
439,439,Premium,649,2024-05-07,2028-03-07,Cancelled
440,440,Standard,499,2024-02-24,,Active
441,441,Standard,499,2021-11-08,,Active
442,442,Basic,199,2023-06-18,2027-05-18,Cancelled
443,443,Basic,199,2022-04-17,,Active
444,444,Premium,649,2020-09-25,,Active
445,445,Basic,199,2024-06-16,,Active
446,446,Basic,199,2025-11-19,,Active
447,447,Basic,199,2022-10-29,,Active
448,448,Basic,199,2025-12-29,,Active
449,449,Basic,199,2019-01-28,,Active
450,450,Basic,199,2022-06-10,,Active
451,451,Basic,199,2021-10-29,,Active
452,452,Basic,199,2023-05-22,2024-05-22,Cancelled
453,453,Premium,649,2023-05-14,2027-10-14,Cancelled
454,454,Basic,199,2024-04-25,,Active
455,455,Basic,199,2019-06-18,,Active
456,456,Standard,499,2019-06-16,,Active
457,457,Premium,649,2021-07-23,2025-06-23,Cancelled
458,458,Basic,199,2022-05-03,,Active
459,459,Basic,199,2018-05-30,,Active
460,460,Standard,499,2025-03-21,,Active
461,461,Basic,199,2024-07-04,2028-12-04,Cancelled
462,462,Basic,199,2019-08-16,2023-12-16,Cancelled
463,463,Basic,199,2018-08-10,2023-05-10,Cancelled
464,464,Premium,649,2022-06-08,,Active
465,465,Standard,499,2018-08-06,,Active
466,466,Basic,199,2020-07-01,,Active
467,467,Premium,649,2018-04-11,,Active
468,468,Basic,199,2024-02-03,2027-09-03,Cancelled
469,469,Premium,649,2021-08-18,,Active
470,470,Basic,199,2023-02-12,,Active
471,471,Standard,499,2018-12-06,,Active
472,472,Premium,649,2019-06-16,,Active
473,473,Basic,199,2022-12-17,,Active
474,474,Premium,649,2020-02-04,,Active
475,475,Basic,199,2019-02-24,,Active
476,476,Premium,649,2021-06-06,,Active
477,477,Premium,649,2025-11-02,,Active
478,478,Basic,199,2021-12-14,2025-07-14,Cancelled
479,479,Standard,499,2018-01-14,2018-07-14,Cancelled
480,480,Basic,199,2021-01-06,2023-02-06,Cancelled
481,481,Basic,199,2018-04-16,,Active
482,482,Premium,649,2019-08-23,,Active
483,483,Standard,499,2020-08-24,,Active
484,484,Standard,499,2025-06-27,2026-10-27,Cancelled
485,485,Premium,649,2019-04-13,,Active
486,486,Standard,499,2020-01-15,,Active
487,487,Premium,649,2023-10-25,,Active
488,488,Premium,649,2025-07-29,,Active
489,489,Basic,199,2022-06-02,,Active
490,490,Standard,499,2018-07-25,,Active
491,491,Basic,199,2021-11-17,,Active
492,492,Premium,649,2020-06-04,2021-04-04,Cancelled
493,493,Premium,649,2021-07-08,,Active
494,494,Standard,499,2021-07-16,,Active
495,495,Basic,199,2023-12-10,2025-10-10,Cancelled
496,496,Basic,199,2022-05-04,,Active
497,497,Standard,499,2025-04-16,,Active
498,498,Premium,649,2024-03-20,,Active
499,499,Standard,499,2024-09-26,,Active
500,500,Premium,649,2019-05-05,2022-10-05,Cancelled
501,501,Standard,499,2024-07-25,,Active
502,502,Premium,649,2018-04-20,,Active
503,503,Standard,499,2020-10-22,,Active
504,504,Basic,199,2024-02-19,,Active
505,505,Standard,499,2021-11-17,,Active
506,506,Standard,499,2021-05-19,,Active
507,507,Premium,649,2021-06-16,,Active
508,508,Basic,199,2021-04-28,,Active
509,509,Premium,649,2018-07-21,,Active
510,510,Premium,649,2021-05-18,,Active
511,511,Premium,649,2021-12-20,,Active
512,512,Premium,649,2023-01-18,,Active
513,513,Premium,649,2024-02-15,,Active
514,514,Standard,499,2025-02-04,,Active
515,515,Premium,649,2019-01-08,2023-07-08,Cancelled
516,516,Premium,649,2025-08-10,2027-10-10,Cancelled
517,517,Standard,499,2019-10-21,2023-03-21,Cancelled
518,518,Standard,499,2019-04-13,,Active
519,519,Standard,499,2024-11-02,2025-08-02,Cancelled
520,520,Basic,199,2020-07-18,,Active
521,521,Standard,499,2022-09-20,,Active
522,522,Premium,649,2021-01-26,,Active
523,523,Premium,649,2022-05-04,2027-05-04,Cancelled
524,524,Basic,199,2024-10-30,,Active
525,525,Basic,199,2024-11-11,,Active
526,526,Premium,649,2023-07-08,2025-03-08,Cancelled
527,527,Premium,649,2018-06-30,2020-11-30,Cancelled
528,528,Basic,199,2021-09-12,,Active
529,529,Basic,199,2025-08-10,,Active
530,530,Premium,649,2023-01-05,,Active
531,531,Premium,649,2025-05-05,,Active
532,532,Premium,649,2019-02-22,,Active
533,533,Standard,499,2019-03-19,,Active
534,534,Premium,649,2020-10-29,,Active
535,535,Premium,649,2023-09-09,,Active
536,536,Premium,649,2020-10-17,2022-12-17,Cancelled
537,537,Standard,499,2021-01-13,,Active
538,538,Basic,199,2023-05-19,,Active
539,539,Standard,499,2025-05-07,,Active
540,540,Premium,649,2020-07-23,,Active
541,541,Basic,199,2024-08-24,,Active
542,542,Standard,499,2022-07-13,2026-11-13,Cancelled
543,543,Basic,199,2018-02-19,,Active
544,544,Standard,499,2023-10-22,2026-04-22,Cancelled
545,545,Standard,499,2018-10-17,2021-05-17,Cancelled
546,546,Standard,499,2023-08-30,,Active
547,547,Premium,649,2018-04-23,,Active
548,548,Basic,199,2018-10-28,,Active
549,549,Basic,199,2019-11-26,,Active
550,550,Standard,499,2018-09-20,,Active
551,551,Basic,199,2020-08-22,,Active
552,552,Basic,199,2023-08-07,,Active
553,553,Basic,199,2023-11-15,,Active
554,554,Standard,499,2022-05-30,2025-10-30,Cancelled
555,555,Standard,499,2025-10-29,,Active
556,556,Basic,199,2025-03-23,,Active
557,557,Premium,649,2024-07-20,,Active
558,558,Standard,499,2020-09-30,,Active
559,559,Premium,649,2020-11-23,2025-11-23,Cancelled
560,560,Basic,199,2020-11-26,,Active
561,561,Basic,199,2024-01-15,2026-07-15,Cancelled
562,562,Standard,499,2023-03-18,,Active
563,563,Basic,199,2019-12-21,,Active
564,564,Standard,499,2020-01-11,,Active
565,565,Premium,649,2024-04-02,,Active
566,566,Standard,499,2022-10-08,,Active
567,567,Standard,499,2021-08-13,,Active
568,568,Premium,649,2018-06-12,,Active
569,569,Standard,499,2024-08-04,2026-01-04,Cancelled
570,570,Basic,199,2018-10-16,2022-01-16,Cancelled
571,571,Standard,499,2020-10-09,2022-09-09,Cancelled
572,572,Premium,649,2019-12-09,2021-08-09,Cancelled
573,573,Premium,649,2025-02-19,,Active
574,574,Basic,199,2022-01-14,,Active
575,575,Standard,499,2022-06-17,,Active
576,576,Basic,199,2025-08-19,,Active
577,577,Premium,649,2018-09-12,2021-06-12,Cancelled
578,578,Basic,199,2019-11-17,,Active
579,579,Standard,499,2018-01-06,,Active
580,580,Basic,199,2019-10-25,,Active
581,581,Basic,199,2025-09-08,,Active
582,582,Basic,199,2023-11-06,,Active
583,583,Basic,199,2019-10-09,,Active
584,584,Basic,199,2025-11-05,2026-05-05,Cancelled
585,585,Basic,199,2024-09-02,,Active
586,586,Premium,649,2018-11-17,,Active
587,587,Premium,649,2020-06-18,,Active
588,588,Basic,199,2024-02-15,,Active
589,589,Basic,199,2022-12-31,,Active
590,590,Standard,499,2025-06-05,,Active
591,591,Standard,499,2021-02-27,2025-07-27,Cancelled
592,592,Standard,499,2019-05-20,,Active
593,593,Standard,499,2025-08-30,2030-05-30,Cancelled
594,594,Basic,199,2021-11-23,2022-10-23,Cancelled
595,595,Standard,499,2021-09-26,,Active
